book_title,book_price,book_url,image_url,published_date,category
Melville's Taxation: Finance Act 2020,57.37 ,https://www.bookdepository.com/Melvilles-Taxation-Finance-Act-2020-Alan-Melville/9781292360713?ref=grid-view&qid=1628102696615&sr=1-82,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2923/9781292360713.jpg,28 Jul 2020,finance
ISE Real Estate Finance & Investments,95.00 ,https://www.bookdepository.com/ISE-Real-Estate-Finance-Investments-William-Brueggeman/9781260091946?ref=grid-view&qid=1628102696615&sr=1-83,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2600/9781260091946.jpg,27 Jun 2019,finance
"Structured Finance: Leveraged Buyouts, Project Finance, Asset Finance and Securitization",49.41 ,https://www.bookdepository.com/Structured-Finance-Leveraged-Buyouts-Project-Finance-Asset-Finance-Securitization-Charles-henri-Larreur/9781119371106?ref=grid-view&qid=1628102696615&sr=1-84,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1193/9781119371106.jpg,09 Jun 2021,finance
Personal Finance and Investing All-in-One For Dummies,22.96 ,https://www.bookdepository.com/Personal-Finance-Investing-All-One-For-Dummies-Faith-Glasgow/9780470515105?ref=grid-view&qid=1628102696615&sr=1-85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4705/9780470515105.jpg,20 Jul 2007,finance
Financial Statement Analysis,69.71 ,https://www.bookdepository.com/Financial-Statement-Analysis-Martin-S-Fridson/9780470635605?ref=grid-view&qid=1628102696615&sr=1-86,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4706/9780470635605.jpg,08 Jul 2011,finance
Value,24.95 ,https://www.bookdepository.com/Value-McKinsey-Company-Inc/9780470424605?ref=grid-view&qid=1628102696615&sr=1-87,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4704/9780470424605.jpg,01 Dec 2010,finance
Between Debt and the Devil,28.57 ,https://www.bookdepository.com/Between-Debt-Devil-Adair-Turner/9780691169644?ref=grid-view&qid=1628102696615&sr=1-88,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6911/9780691169644.jpg,20 Oct 2015,finance
Stochastic Calculus for Finance I,57.78 ,https://www.bookdepository.com/Stochastic-Calculus-for-Finance-I-Steven-Shreve/9780387401003?ref=grid-view&qid=1628102696615&sr=1-89,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3874/9780387401003.jpg,08 Jun 2004,finance
Valuation Workbook,31.97 ,https://www.bookdepository.com/Valuation-Workbook-McKinsey-Company-Inc/9781119611813?ref=grid-view&qid=1628102696615&sr=1-90,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1196/9781119611813.jpg,09 Nov 2020,finance
Damodaran on Valuation,83.98 ,https://www.bookdepository.com/Damodaran-on-Valuation-Aswath-Damodaran/9780471751212?ref=grid-view&qid=1628102699360&sr=1-91,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4717/9780471751212.jpg,22 Aug 2006,finance
